Year,Game,Total Prize Money (Year),Number of Players,Number of Tournaments
2020,Counter-Strike: Global Offensive,"$15,937,064.57 ",2979,591
2020,Arena of Valor,"$9,500,997.45 ",255,13
2020,Dota 2,"$9,372,569.73 ",979,155
2020,Fortnite,"$8,876,401.39 ",1681,127
2020,League of Legends,"$8,466,911.57 ",1783,110
2020,Call of Duty: Modern Warfare,"$7,152,172.00 ",334,71
2020,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$6,492,507.95 ",594,18
2020,Overwatch,"$5,763,561.00 ",419,21
2020,Rainbow Six Siege,"$5,635,408.30 ",727,60
2020,PLAYERUNKNOWN’S BATTLEGROUNDS,"$5,101,127.92 ",1070,75
2020,Hearthstone,"$4,272,396.82 ",437,48
2020,Rocket League,"$3,971,705.52 ",841,293
2020,Call of Duty: Warzone,"$2,825,407.12 ",611,106
2020,VALORANT,"$2,370,199.71 ",2186,308
2020,Apex Legends,"$2,224,469.05 ",660,207
2020,StarCraft II,"$2,159,775.84 ",323,390
2020,FIFA 20,"$1,641,587.80 ",237,41
2020,Magic: The Gathering Arena,"$1,600,000.00 ",51,4
2020,Gears 5,"$1,223,000.00 ",143,16
2020,Clash of Clans,"$1,212,811.00 ",136,15
2020,chess24,"$1,184,696.09 ",61,10
2020,Lichess,"$1,140,686.93 ",287,64
2020,Brawl Stars,"$1,056,250.00 ",35,2
2020,Chess.com,"$790,281.92 ",441,91
2020,F1 2020,"$751,947.00 ",39,2
2020,CrossFire,"$718,986.52 ",75,6
2020,iRacing.com,"$674,078.65 ",449,36
2020,Free Fire,"$598,779.11 ",205,6
2020,Brawlhalla,"$594,841.60 ",288,104
2020,WarCraft III: Reforged,"$556,203.44 ",83,114
2020,FIFA Online 4,"$404,120.00 ",56,5
2020,Paladins,"$393,630.97 ",166,18
2020,Age of Empires II,"$381,838.20 ",414,218
2020,Teamfight Tactics,"$370,029.00 ",39,4
2020,Super Smash Bros. Ultimate,"$308,808.36 ",599,280
2020,Quake Champions,"$302,899.03 ",40,9
2020,Hyper Scape,"$299,000.00 ",260,4
2020,Minecraft,"$294,700.00 ",60,4
2020,Fall Guys,"$284,273.83 ",240,5
2020,Call of Duty: Black Ops Cold War,"$253,000.00 ",107,13
2020,StarCraft: Brood War,"$246,095.94 ",106,64
2020,Assetto Corsa,"$235,634.41 ",120,31
2020,Clash Royale,"$224,600.00 ",51,5
2020,Hearthstone Battlegrounds,"$203,630.00 ",40,4
2020,NASCAR Heat 4,"$200,500.00 ",34,5
2020,Forza Motorsport 7,"$199,000.00 ",64,3
2020,Farming Simulator 19,"$189,253.45 ",66,6
2020,Gwent,"$186,720.00 ",22,5
2020,Mortal Kombat 11,"$182,259.57 ",77,7
2020,Street Fighter V: Champion Edition,"$173,410.22 ",52,48
2020,rFactor 2,"$163,457.06 ",87,24
2020,Super Smash Bros. Melee,"$157,502.23 ",112,26
2020,Tekken 7,"$156,917.56 ",88,43
2020,Legends of Runeterra,"$118,481.03 ",30,5
2020,Escape from Tarkov,"$114,600.00 ",150,4
2020,Granblue Fantasy: Versus,"$106,280.94 ",45,43
2020,Diabotical,"$103,859.92 ",239,78
2020,Rocket Arena,"$100,000.00 ",24,3
2020,Dragon Ball FighterZ,"$94,116.31 ",73,38
2020,RaceRoom Racing Experience,"$79,035.00 ",38,9
2020,WarCraft III,"$72,425.80 ",18,8
2020,Among Us,"$66,000.00 ",10,6
2020,Auto Chess,"$60,098.00 ",42,2
2020,Trackmania (2020),"$59,918.61 ",99,59
2020,Multigaming,"$59,109.70 ",8,1
2020,Halo: Reach,"$50,000.00 ",32,1
2020,Rogue Company,"$50,000.00 ",48,2
2020,Spellbreak,"$50,000.00 ",42,1
2020,Dead By Daylight,"$45,000.00 ",30,6
2020,TrackMania 2: Stadium,"$40,160.09 ",202,86
2020,F1 2019,"$38,047.38 ",3,1
2020,Zwift,"$33,827.08 ",6,2
2020,Playchess.com,"$32,866.58 ",116,9
2020,Identity V,"$31,911.10 ",6,1
2020,Call of Duty: Black Ops 4,"$30,000.00 ",14,2
2020,Soul Calibur VI,"$27,582.77 ",41,26
2020,Rivals of Aether,"$20,833.62 ",27,8
2020,Street Fighter V: Arcade Edition,"$20,286.12 ",19,3
2020,UNO,"$20,000.00 ",16,2
2020,Shadowverse,"$19,700.00 ",35,5
2020,BlazBlue: Cross Tag Battle,"$14,026.79 ",34,6
2020,Samurai Shodown (2019),"$13,223.40 ",23,5
2020,Prophecy,"$13,000.00 ",27,4
2020,Call of Duty: Black Ops 2,"$12,000.00 ",4,1
2020,Age of Empires,"$11,954.00 ",50,1
2020,Team Fortress 2,"$11,403.92 ",166,7
2020,Tetris,"$10,926.38 ",23,4
2020,osu!,"$10,890.00 ",303,4
2020,Dirt Rally 2.0,"$10,000.00 ",5,2
2020,Internet Chess Club,"$10,000.00 ",6,1
2020,Old School Runescape,"$9,004.20 ",14,2
2020,Age of Empires III,"$8,123.00 ",64,10
2020,Guilty Gear Xrd REV 2,"$7,134.00 ",19,6
2020,Heroes of the Storm,"$6,745.00 ",33,4
2020,Under Night In-Birth EXE: Late[st],"$6,036.89 ",21,4
2020,Assetto Corsa Competizione,"$5,338.00 ",10,13
2020,Ultimate Marvel vs. Capcom 3,"$4,786.90 ",13,5
2020,QuakeWorld,"$4,168.00 ",6,1
2020,Fantasy Strike,"$3,860.00 ",18,3
2020,Melty Blood: Actress Again Current Code,"$3,784.93 ",34,10
2020,Unreal Tournament (2016),"$3,698.92 ",65,3
2020,Guilty Gear XX Accent Core Plus R,"$3,576.91 ",18,5
2020,Dota Underlords,"$3,388.50 ",12,7
2020,Xonotic,"$3,340.39 ",63,13
2020,Gran Turismo Sport,"$3,331.00 ",59,3
2020,BlazBlue: Central Fiction,"$3,296.84 ",11,6
2020,Tetr.io,"$2,992.61 ",19,11
2020,Pokkén Tournament DX,"$2,936.43 ",9,4
2020,Lethal League Blaze,"$2,910.02 ",16,4
2020,Call of Duty: Modern Warfare 2,"$2,500.00 ",4,1
2020,Nascar Heat 5,"$2,500.00 ",10,1
2020,Doom II: Hell on Earth,"$2,480.00 ",7,3
2020,Live for Speed,"$2,380.00 ",6,1
2020,Skullgirls 2nd Encore,"$1,984.50 ",14,3
2020,Mystery Game Tournament,"$1,920.00 ",8,1
2020,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,"$1,819.61 ",17,4
2020,Puyo Puyo Tetris,"$1,805.09 ",12,9
2020,Vampire Savior,"$1,667.21 ",9,4
2020,Super Smash Bros.,"$1,547.18 ",23,6
2020,Eternal Fighter Zero,"$1,311.60 ",7,2
2020,Mario Kart 8 Deluxe,"$1,305.00 ",24,2
2020,King of Fighters XIV,"$1,270.00 ",8,3
2020,Splatoon 2,"$1,270.00 ",13,1
2020,Age of Empires Online,"$1,246.56 ",9,3
2020,Artifact Classic,"$1,229.85 ",29,20
2020,Under Night In-Birth Exe:Late[cl-r],"$1,108.00 ",10,3
2020,Windjammers,"$1,040.00 ",13,3
2020,Street Fighter III: 3rd Strike,$980.00 ,11,2
2020,Tatsunoko vs. Capcom: Ultimate All-Stars,$914.66 ,5,7
2020,Rushdown Revolt,$850.00 ,9,4
2020,Star Wars: Squadrons,$800.00 ,4,1
2020,ARMS,$789.17 ,17,4
2020,Super Smash Bros. Brawl,$770.00 ,11,3
2020,Artifact Foundry,$752.00 ,21,7
2020,Power Rangers: Battle for the Grid,$640.00 ,8,3
2020,Super Street Fighter II Turbo,$590.00 ,6,2
2020,Fight of Animals,$580.68 ,7,3
2020,Marvel vs. Capcom: Infinite,$544.60 ,4,2
2020,NBA 2K21,$501.00 ,3,1
2020,SLAYERS FOR HIRE,$500.00 ,8,1
2020,Super Smash Bros. for Wii U,$490.00 ,3,1
2020,King of Fighters XIII,$480.00 ,3,1
2020,Beat Aim,$430.00 ,12,6
2020,Puyo Puyo Champions,$410.50 ,5,2
2020,Dead or Alive 6,$410.00 ,6,2
2020,Them's Fightin' Herds,$390.00 ,8,3
2020,King of Fighters 2002 Unlimited Match,$380.00 ,3,1
2020,Garou: Mark of the Wolves,$325.00 ,6,2
2020,Sailor Moon S,$320.00 ,6,2
2020,Dengeki Bunko: Fighting Climax Ignition,$305.50 ,9,3
2020,Punch Planet,$300.00 ,3,1
2020,Slap City,$300.00 ,3,1
2020,Smash Remix,$299.06 ,4,1
2020,JoJo's Bizarre Adventure: Heritage for the Future,$284.99 ,5,2
2020,Duck Game,$250.00 ,3,1
2020,Capcom vs. SNK 2,$240.00 ,3,1
2020,Samurai Shodown V Special,$230.46 ,5,2
2020,Jstris,$225.00 ,8,1
2020,Kirby Fighters 2,$222.86 ,4,1
2020,Kill la Kill the Game: IF,$220.00 ,6,2
2020,Maiden & Spell,$200.00 ,3,1
2020,Naruto: Gekitou Ninja Taisen! 4,$200.00 ,3,1
2020,ShootMania Storm,$193.05 ,15,2
2020,Cultris II,$190.95 ,3,1
2020,Warparty,$175.00 ,4,1
2020,Def Jam: Fight for NY,$170.00 ,3,1
2020,Magical Drop III,$130.00 ,3,1
2020,Trackmania Turbo,$112.50 ,3,1
2020,Pokémon VGC,$102.00 ,3,1
2020,Acceleration of SUGURI 2,$100.00 ,3,1
2020,Schwarzerblitz,$100.00 ,3,1
2020,Twinkle Star Sprites,$100.00 ,3,1
2020,Catherine,$75.00 ,3,1
2020,Digimon Rumble Arena,$70.00 ,3,1
2020,Pocket Rumble,$60.00 ,3,1
2020,TrackMania Nations Forever,$56.30 ,3,1
2020,Arcana Heart 3: Love Max Six Stars!!!!!,$50.00 ,3,1
2020,HYPERFIGHT,$50.00 ,3,1
2020,Killer Instinct (2013),$50.00 ,3,1
2020,Koihime Enbu,$50.00 ,3,1
2020,Power Instinct: Matrimelee,$50.00 ,3,1
2020,Roof Rage,$50.00 ,3,1
2020,Shrek SuperSlam,$50.00 ,3,1
2020,Speedrunners,$50.00 ,3,1
2020,Umineko: Golden Fantasia,$50.00 ,3,1
2020,Panel Attack,$40.00 ,3,1
2020,Ultra Street Fighter IV,$40.00 ,6,2
2020,Samurai Shodown III,$30.00 ,3,1
2020,Akatsuki Blitzkampf,$20.00 ,3,1
2020,Project Plus,$20.00 ,3,1
2020,The Last Blade 2,$20.00 ,3,1
2020,Breakers Revenge,$16.00 ,3,1
2020,Asuka 120% LimitOver BURNING Fest.,$10.00 ,3,1
2020,Fighting EX Layer,$10.00 ,3,1
2020,Mario Tennis Aces,$10.00 ,3,1
2020,Marvel vs. Capcom 2,$10.00 ,3,1
2020,Million Arthur: Arcana Blood,$10.00 ,3,1
2019,Fortnite,"$72,800,079.01 ",3008,400
2019,Dota 2,"$47,043,520.56 ",1335,224
2019,Counter-Strike: Global Offensive,"$22,204,398.24 ",3914,935
2019,PLAYERUNKNOWN’S BATTLEGROUNDS,"$11,327,221.08 ",1429,114
2019,League of Legends,"$9,608,549.84 ",2117,206
2019,Overwatch,"$9,587,036.77 ",1226,58
2019,Arena of Valor,"$7,821,265.46 ",264,19
2019,Call of Duty: Black Ops 4,"$6,383,189.00 ",339,31
2019,Rainbow Six Siege,"$5,066,166.82 ",1039,105
2019,Hearthstone,"$4,772,553.17 ",507,43
2019,Magic: The Gathering Arena,"$4,402,000.00 ",219,33
2019,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$3,181,637.99 ",837,25
2019,StarCraft II,"$3,127,002.59 ",394,366
2019,Rocket League,"$3,092,910.98 ",468,181
2019,Apex Legends,"$2,861,382.64 ",683,80
2019,FIFA 19,"$2,690,910.99 ",247,29
2019,Shadowverse,"$1,761,477.09 ",184,35
2019,Clash of Clans,"$1,420,525.00 ",87,20
2019,Auto Chess,"$1,076,322.28 ",72,6
2019,Clash Royale,"$1,047,130.00 ",112,10
2019,Super Smash Bros. Ultimate,"$1,046,754.97 ",1628,964
2019,CrossFire,"$1,014,147.75 ",94,11
2019,Street Fighter V: Arcade Edition,"$845,119.16 ",153,50
2019,Tekken 7,"$769,730.43 ",267,98
2019,Free Fire,"$707,613.12 ",168,9
2019,Gears 5,"$560,000.00 ",95,6
2019,Paladins,"$550,000.00 ",101,6
2019,Brawlhalla,"$523,239.00 ",209,125
2019,F1 2019,"$500,000.00 ",22,1
2019,Gears of War 4,"$500,000.00 ",61,2
2019,FIFA 20,"$476,358.96 ",139,21
2019,TEPPEN,"$456,721.47 ",12,1
2019,World of WarCraft,"$450,000.00 ",52,4
2019,Teamfight Tactics,"$449,284.65 ",133,11
2019,FIFA Online 4,"$437,000.00 ",58,2
2019,iRacing.com,"$399,642.94 ",256,23
2019,WarCraft III,"$392,576.52 ",67,40
2019,Forza Motorsport 7,"$366,200.00 ",74,5
2019,Call of Duty: Modern Warfare,"$348,612.50 ",78,10
2019,Halo 3,"$335,200.00 ",66,9
2019,Heroes of the Storm,"$316,914.92 ",179,29
2019,StarCraft: Brood War,"$309,596.26 ",71,67
2019,Mortal Kombat 11,"$309,234.68 ",161,37
2019,Call of Duty: Blackout,"$296,608.35 ",152,12
2019,Brawl Stars,"$288,700.00 ",57,10
2019,Super Smash Bros. Melee,"$229,730.22 ",386,122
2019,Pro Evolution Soccer 2019,"$216,000.00 ",25,2
2019,Magic: The Gathering Online,"$200,000.00 ",24,1
2019,Age of Empires II,"$138,019.31 ",197,144
2019,Minecraft,"$130,000.00 ",17,13
2019,Battalion 1944,"$124,078.05 ",83,21
2019,Dragon Ball FighterZ,"$124,052.77 ",108,42
2019,Assetto Corsa,"$110,003.30 ",47,21
2019,Farming Simulator 19,"$106,133.10 ",72,8
2019,Madden NFL 19,"$100,000.00 ",5,2
2019,Sea of Thieves,"$100,000.00 ",67,4
2019,Chess.com,"$99,858.11 ",140,22
2019,Old School Runescape,"$97,000.00 ",7,4
2019,rFactor 2,"$95,118.59 ",139,21
2019,Multigaming,"$89,274.63 ",15,2
2019,Soul Calibur VI,"$86,074.21 ",83,30
2019,Big Buck Hunter Arcade,"$76,200.00 ",3,1
2019,Dead or Alive 6,"$72,206.54 ",62,18
2019,Quake Champions,"$72,186.51 ",31,6
2019,Ring of Elysium,"$70,000.00 ",9,4
2019,Artifact Classic,"$69,272.34 ",194,117
2019,Guns of Boom,"$64,800.00 ",8,7
2019,Samurai Shodown (2019),"$64,499.91 ",54,14
2019,BlazBlue: Cross Tag Battle,"$62,376.70 ",75,23
2019,Guilty Gear Xrd REV 2,"$61,006.37 ",73,25
2019,Stardew Valley,"$54,250.00 ",56,2
2019,TrackMania 2: Stadium,"$54,050.30 ",123,84
2019,RaceRoom Racing Experience,"$53,160.00 ",54,8
2019,Asphalt 9: Legends,"$51,520.00 ",5,2
2019,Borderlands 3,"$50,000.00 ",16,1
2019,Halo: Reach,"$50,000.00 ",16,1
2019,Splitgate: Arena Warfare,"$50,000.00 ",64,2
2019,WWE 2K20,"$50,000.00 ",20,2
2019,BlazBlue: Central Fiction,"$39,752.85 ",35,8
2019,Team Fortress 2,"$37,432.94 ",289,14
2019,Under Night In-Birth EXE: Late[st],"$32,610.17 ",69,18
2019,Project Cars 2,"$32,400.00 ",32,20
2019,King of Fighters XIV,"$32,365.70 ",30,10
2019,The Division 2,"$27,250.00 ",40,2
2019,Gwent,"$25,000.00 ",8,1
2019,Dota Underlords,"$22,635.68 ",56,29
2019,NHL 19,"$19,700.00 ",6,6
2019,Sekiro: Shadows Die Twice,"$19,596.00 ",20,1
2019,osu!,"$16,910.00 ",302,8
2019,Mordhau,"$16,623.00 ",40,3
2019,Dead By Daylight,"$15,000.00 ",15,3
2019,Street Fighter V,"$15,000.00 ",8,1
2019,Gran Turismo Sport,"$14,100.00 ",19,3
2019,Lichess,"$13,600.00 ",38,23
2019,Age of Empires,"$10,960.00 ",23,11
2019,Tetris,"$10,000.00 ",16,1
2019,Age of Empires III,"$9,035.00 ",28,30
2019,Pokkén Tournament DX,"$8,218.57 ",26,10
2019,Project M,"$8,117.61 ",43,13
2019,King of Fighters 98,"$7,945.57 ",7,3
2019,Million Arthur: Arcana Blood,"$7,530.00 ",9,3
2019,Skullgirls 2nd Encore,"$6,110.00 ",10,3
2019,Super Smash Bros. for Wii U,"$5,840.00 ",12,2
2019,Super Smash Bros.,"$4,662.20 ",25,4
2019,Mystery Game Tournament,"$4,035.00 ",26,3
2019,Black Squad,"$4,010.43 ",20,2
2019,Street Fighter III: 3rd Strike,"$3,455.42 ",23,6
2019,Rivals of Aether,"$3,435.00 ",15,5
2019,Wolfenstein: Enemy Territory,"$3,305.09 ",18,2
2019,Super Street Fighter II Turbo,"$3,146.51 ",26,8
2019,Super Smash Bros. Brawl,"$2,706.00 ",19,4
2019,Vampire Savior,"$2,680.00 ",13,5
2019,Melty Blood: Actress Again Current Code,"$2,605.00 ",17,5
2019,Naruto Shippuden: Ultimate Ninja Storm 4,"$2,550.00 ",7,3
2019,Windjammers,"$2,466.75 ",16,4
2019,Lethal League Blaze,"$2,422.50 ",16,6
2019,Puyo Puyo Champions,"$2,071.80 ",9,3
2019,Marvel vs. Capcom: Infinite,"$2,010.00 ",13,5
2019,ARMS,"$1,970.86 ",32,13
2019,Ultimate Marvel vs. Capcom 3,"$1,778.47 ",15,7
2019,Ultra Street Fighter IV,"$1,705.61 ",15,5
2019,Injustice 2,"$1,610.00 ",12,4
2019,Killer Instinct (2013),"$1,500.00 ",11,3
2019,Dengeki Bunko: Fighting Climax Ignition,"$1,395.00 ",13,4
2019,Sailor Moon S,"$1,315.13 ",10,6
2019,Guilty Gear XX Accent Core Plus R,"$1,220.00 ",6,3
2019,Doom II: Hell on Earth,"$1,200.00 ",1,1
2019,Quake II,"$1,200.00 ",1,1
2019,QuakeWorld,"$1,200.00 ",1,1
2019,Power Rangers: Battle for the Grid,"$1,150.00 ",7,3
2019,Counter-Strike: Source,"$1,000.00 ",3,1
2019,Virtua Fighter 5: Ultimate Showdown,"$1,000.00 ",5,1
2019,Warparty,"$1,000.00 ",4,1
2019,Puyo Puyo Tetris,$911.08 ,14,4
2019,Teenage Mutant Ninja Turtles: Tournament Fighters,$820.00 ,7,2
2019,Street Fighter Alpha 2,$800.00 ,8,4
2019,Capcom vs. SNK 2,$790.00 ,7,3
2019,Soul Calibur II,$780.00 ,8,3
2019,Kill la Kill the Game: IF,$700.00 ,6,2
2019,Company of Heroes 2,$605.00 ,3,4
2019,Koihime Enbu,$585.00 ,6,2
2019,Persona 4 Arena Ultimax,$560.00 ,6,2
2019,Mortal Kombat X,$480.00 ,3,1
2019,Tatsunoko vs. Capcom: Ultimate All-Stars,$470.00 ,5,2
2019,Marvel vs. Capcom 2,$420.00 ,3,1
2019,Fighting EX Layer,$372.96 ,6,2
2019,TrackMania 2: Canyon,$337.68 ,3,1
2019,Ultra Fight Da! Kyanta 2,$320.00 ,3,1
2019,Samurai Shodown V Special,$251.40 ,6,2
2019,Street Fighter X Tekken,$250.00 ,3,1
2019,Mario Kart 8 Deluxe,$229.44 ,3,1
2019,Garou: Mark of the Wolves,$225.00 ,3,1
2019,GRID (2019),$218.75 ,3,1
2019,ShootMania Storm,$210.60 ,12,1
2019,Acceleration of SUGURI 2,$210.00 ,3,1
2019,Tekken 5: Dark Resurrection,$210.00 ,4,1
2019,Fighter's History Dynamite,$195.00 ,3,1
2019,Street Fighter EX2 Plus,$190.00 ,3,1
2019,Them's Fightin' Herds,$190.00 ,3,1
2019,Catherine: Full Body,$185.00 ,3,1
2019,Catherine,$180.00 ,3,1
2019,Project Justice,$165.00 ,3,1
2019,Virtua Fighter 5 Final Showdown,$160.00 ,4,1
2019,Age of Empires Online,$154.00 ,4,2
2019,Nitroplus Blasterz: Heroines Infinite Duel,$150.00 ,3,1
2019,Hokuto no Ken,$145.00 ,3,1
2019,Mortal Kombat XL,$140.00 ,2,1
2019,Arcana Heart 3: Love Max Six Stars!!!!!,$110.00 ,3,1
2019,Umineko: Golden Fantasia,$90.00 ,3,1
2019,Aquapazza: Aquaplus Dream Match,$85.00 ,3,1
2019,Virtua Fighter 5,$80.00 ,1,1
2019,Shovel Knight Showdown,$60.00 ,3,1
2019,Mario Tennis Aces,$51.30 ,3,1
2019,Street Fighter Alpha 3,$40.00 ,1,1
2019,Hand of the Gods,$34.20 ,1,1
2019,Guilty Gear,$32.00 ,3,1
2019,Xonotic,$22.82 ,15,2
2019,Yu-Gi-Oh! Duel Links,$20.00 ,1,1
2018,Dota 2,"$41,457,368.99 ",1152,174
2018,Counter-Strike: Global Offensive,"$23,320,449.03 ",4675,1020
2018,Fortnite,"$19,880,337.00 ",1445,176
2018,League of Legends,"$14,590,522.32 ",1931,188
2018,PLAYERUNKNOWN’S BATTLEGROUNDS,"$8,332,616.32 ",1508,124
2018,Overwatch,"$6,615,791.65 ",1548,120
2018,Heroes of the Storm,"$5,277,279.76 ",368,34
2018,Arena of Valor,"$5,190,956.76 ",312,21
2018,Hearthstone,"$4,717,852.27 ",836,132
2018,Call of Duty: World War II,"$4,287,916.69 ",247,41
2018,StarCraft II,"$4,025,580.65 ",365,450
2018,Rocket League,"$2,378,405.42 ",436,175
2018,FIFA 18,"$2,189,152.14 ",223,40
2018,Rainbow Six Siege,"$2,015,095.36 ",597,70
2018,Halo 5: Guardians,"$1,873,750.00 ",101,18
2018,Street Fighter V: Arcade Edition,"$1,399,580.67 ",141,51
2018,Shadowverse,"$1,310,000.00 ",24,1
2018,SMITE,"$1,183,500.00 ",143,11
2018,CrossFire,"$1,074,640.06 ",150,26
2018,Gears of War 4,"$1,022,000.00 ",93,7
2018,NBA 2K18,"$1,000,000.00 ",91,4
2018,Clash Royale,"$986,262.37 ",150,19
2018,Paladins,"$899,100.00 ",344,22
2018,World of WarCraft,"$740,000.00 ",124,27
2018,Quake Champions,"$651,250.40 ",136,154
2018,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$617,069.08 ",114,6
2018,FIFA 19,"$551,731.35 ",130,19
2018,Attack on Titan Tribute Game,"$494,250.00 ",64,15
2018,Gwent,"$441,568.19 ",54,15
2018,StarCraft: Brood War,"$434,890.36 ",83,33
2018,Super Smash Bros. Melee,"$365,222.84 ",296,113
2018,Tekken 7,"$339,255.91 ",126,57
2018,Call of Duty: Black Ops 4,"$321,249.95 ",135,36
2018,Call of Duty: Blackout,"$315,000.00 ",36,6
2018,Brawlhalla,"$297,604.70 ",196,98
2018,Super Smash Bros. for Wii U,"$277,984.69 ",406,190
2018,Realm Royale,"$263,000.00 ",47,9
2018,Madden NFL 2018,"$259,000.00 ",32,1
2018,Forza Motorsport 7,"$255,000.00 ",30,4
2018,Pro Evolution Soccer 2018,"$250,000.00 ",20,3
2018,FIFA Online 4,"$240,000.00 ",37,1
2018,FIFA Online 3,"$237,112.50 ",36,1
2018,F1 2018,"$200,000.00 ",21,1
2018,Magic: The Gathering Online,"$200,000.00 ",23,1
2018,WarCraft III,"$176,129.87 ",70,117
2018,Injustice 2,"$160,648.23 ",37,13
2018,Old School Runescape,"$156,500.00 ",20,5
2018,iRacing.com,"$143,340.30 ",191,18
2018,Guns of Boom,"$133,950.00 ",4,14
2018,Dragon Ball FighterZ,"$132,741.37 ",79,30
2018,Chess.com,"$120,424.01 ",73,14
2018,Radical Heights,"$120,000.00 ",12,2
2018,Warface,"$109,555.00 ",32,2
2018,NHL 18,"$102,700.00 ",20,6
2018,Creative Destruction,"$100,000.00 ",8,1
2018,Zula,"$100,000.00 ",20,1
2018,Point Blank,"$99,000.00 ",10,1
2018,Pokémon VGC,"$98,500.00 ",112,15
2018,Team Fortress 2,"$92,841.73 ",286,21
2018,Battalion 1944,"$78,576.62 ",53,7
2018,H1Z1,"$75,000.00 ",20,1
2018,Super Smash Bros. Ultimate,"$74,587.45 ",271,63
2018,Age of Empires II,"$70,774.33 ",125,98
2018,Heroes of Newerth,"$64,039.12 ",15,1
2018,Hand of the Gods,"$50,000.00 ",13,1
2018,Artifact Classic,"$48,666.35 ",93,29
2018,Age of Empires,"$41,426.72 ",84,21
2018,Yu-Gi-Oh! Duel Links,"$35,372.28 ",234,133
2018,Project Cars 2,"$33,750.00 ",10,2
2018,World of Tanks Blitz,"$33,330.00 ",0,5
2018,Battlerite,"$28,750.00 ",29,2
2018,RaceRoom Racing Experience,"$27,768.70 ",91,5
2018,TrackMania 2: Stadium,"$26,329.28 ",82,39
2018,Madden NFL 19,"$25,000.00 ",1,1
2018,Guilty Gear Xrd REV 2,"$22,557.64 ",45,13
2018,BlazBlue: Cross Tag Battle,"$19,463.33 ",38,9
2018,Killer Instinct (2013),"$17,770.00 ",14,4
2018,Lichess,"$15,325.00 ",19,10
2018,Assetto Corsa,"$15,000.00 ",8,1
2018,ARMS,"$13,297.14 ",71,56
2018,Project M,"$13,056.56 ",77,24
2018,Under Night In-Birth EXE: Late[st],"$11,646.27 ",39,10
2018,Super Smash Bros.,"$10,747.76 ",58,14
2018,King of Fighters XIV,"$10,469.23 ",21,6
2018,Battlefield 4,"$10,275.45 ",38,2
2018,osu!,"$10,117.00 ",311,7
2018,Gran Turismo Sport,"$10,080.00 ",10,1
2018,Magic: The Gathering Arena,"$10,000.00 ",16,1
2018,Soul Calibur VI,"$9,891.00 ",19,6
2018,BlazBlue: Central Fiction,"$7,523.06 ",33,8
2018,rFactor 2,"$7,385.26 ",36,5
2018,Marvel vs. Capcom: Infinite,"$5,952.12 ",28,9
2018,Splatoon 2,"$5,360.00 ",0,3
2018,Minecraft,"$4,839.15 ",10,3
2018,Black Squad,"$4,470.29 ",52,15
2018,Company of Heroes 2,"$4,400.00 ",8,1
2018,Mortal Kombat XL,"$4,120.00 ",11,2
2018,Faeria,"$4,100.00 ",12,5
2018,Super Smash Bros. Brawl,"$3,613.19 ",23,9
2018,Age of Empires III,"$3,550.00 ",20,14
2018,Mortal Kombat 9,"$3,260.00 ",8,1
2018,Pokkén Tournament DX,"$3,181.40 ",16,8
2018,Super Street Fighter II Turbo,"$2,947.53 ",23,7
2018,NHL 19,"$2,866.67 ",5,2
2018,Skullgirls 2nd Encore,"$2,801.00 ",8,3
2018,Mystery Game Tournament,"$2,560.00 ",15,2
2018,Critical Ops,"$2,500.00 ",0,1
2018,Vampire Savior,"$2,170.00 ",12,4
2018,Street Fighter III: 3rd Strike,"$1,950.00 ",16,4
2018,Sailor Moon S,"$1,646.06 ",10,4
2018,Melty Blood: Actress Again Current Code,"$1,630.00 ",15,4
2018,Tetris,"$1,500.00 ",2,1
2018,Age of Empires Online,"$1,448.00 ",8,3
2018,Fighting EX Layer,"$1,260.00 ",9,4
2018,Ultimate Marvel vs. Capcom 3,"$1,160.00 ",5,2
2018,QuakeWorld,"$1,042.22 ",9,3
2018,Guilty Gear XX Accent Core Plus R,$930.00 ,8,3
2018,Halo 3,$800.00 ,12,1
2018,Ultra Street Fighter IV,$680.81 ,9,3
2018,Street Fighter Alpha 2,$680.00 ,8,3
2018,Windjammers,$665.41 ,7,3
2018,Koihime Enbu,$590.00 ,3,1
2018,Quake Live,$500.00 ,2,1
2018,Street Fighter X Tekken,$500.00 ,5,2
2018,Puyo Puyo Tetris,$466.67 ,6,2
2018,Catherine,$450.00 ,5,2
2018,Dengeki Bunko: Fighting Climax Ignition,$450.00 ,11,2
2018,SNK Heroines: Tag Team Frenzy,$430.00 ,3,1
2018,Arcana Heart 3: Love Max Six Stars!!!!!,$410.00 ,6,2
2018,Quake II,$379.50 ,2,1
2018,TrackMania 2: Canyon,$369.60 ,3,1
2018,Street Fighter Alpha 3,$300.00 ,3,1
2018,Xonotic,$277.75 ,39,3
2018,Divekick,$250.00 ,3,1
2018,Dead or Alive 5: Last Round,$240.00 ,3,1
2018,TrackMania Nations Forever,$235.20 ,3,1
2018,Tatsunoko vs. Capcom: Ultimate All-Stars,$230.00 ,3,1
2018,Mario Kart 8 Deluxe,$220.00 ,4,1
2018,Super Mario Party,$220.00 ,4,1
2018,Warsow,$183.00 ,2,1
